oiltypeid,oilgradeid,oilhours,machinehours,PQI,Fe,Cu,Cr,Pb,Ni,Al,Si,Na,K,Mo,B,Ba,Mg,Ca,Zn,P,Ag,Mn,V,Ti,Cd,H2O,F,V40,OXI,NIT,SUL,ISO6,ISO14,X6,X10,X14,X21,X25,X38,X70
1-1,30,646.0,9632,0,1 to 192,<1,<1,<1,<1,1 to 37,1 to 12,1 to 98,1,<1,1 to 132,<1,1 to 286,3385 to 4514,731 to 1096,846,<1,<1,<1,<1,<1,0.0,N,103.8,11,4,15,18 to 23,18 to 22,0 to 15093,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
2-1,75W-90,830.0,9123,41,1 to 192,1 to 71,<1,<1,<1,1 to 37,12 to 23,98 to 195,3,<1,394 to 525,<1,856 to 1140,1 to 1129,1 to 366,1520,<1,<1,<1,<1,<1,0.0,N,88.2,50,4,59,18 to 23,18 to 22,15093 to 30186,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
1-3,85W-140,358.0,8651,52,1 to 192,<1,<1,1 to 17,<1,<1,1 to 12,1 to 98,<1,<1,1 to 132,<1,<1,1 to 1129,1 to 366,784,<1,<1,<1,<1,<1,0.0,N,314.2,6,5,16,18 to 23,18 to 22,30186 to 45279,9806 to 19612,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
1-3,85W-140,871.0,8724,4,1 to 192,<1,<1,<1,<1,<1,1 to 12,<1,<1,<1,1 to 132,<1,<1,1 to 1129,1 to 366,775,<1,<1,<1,<1,<1,0.0,N,315.2,6,5,16,18 to 23,12 to 18,0 to 15093,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
1-3,85W-140,509.0,9632,221,1 to 192,<1,<1,<1,<1,<1,1 to 12,1 to 98,2,<1,1 to 132,<1,<1,1 to 1129,1 to 366,799,<1,<1,<1,<1,<1,0.0,N,329.4,6,5,16,18 to 23,18 to 22,30186 to 45279,19612 to 29418,15564 to 23346,4462 to 8924,4839 to 6452,0 to 145,0 to 16
1-3,85W-140,239.0,3032,15,1 to 192,<1,<1,<1,<1,<1,1 to 12,<1,<1,<1,1 to 132,<1,<1,<1,1 to 366,796,<1,<1,<1,<1,<1,0.0,N,331.2,6,5,16,18 to 23,12 to 18,0 to 15093,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
1-3,85W-140,456.0,7492,0,1 to 192,<1,<1,<1,<1,<1,1 to 12,1 to 98,<1,<1,1 to 132,<1,<1,1 to 1129,1 to 366,790,<1,<1,<1,<1,<1,0.0,N,317.5,6,5,16,18 to 23,18 to 22,15093 to 30186,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
1-3,85W-140,509.0,9632,211,1 to 192,<1,<1,<1,<1,<1,1 to 12,1 to 98,2,<1,1 to 132,<1,<1,1 to 1129,1 to 366,726,<1,<1,<1,<1,<1,0.0,N,321.4,6,5,16,18 to 23,18 to 22,45279 to 60372,29418 to 39225,15564 to 23346,8924 to 13386,4839 to 6452,0 to 145,0 to 16
2-2,15W-40,210.0,10320,3,1 to 192,1 to 71,<1,<1,<1,<1,1 to 12,1 to 98,2,43 to 58,<1,<1,571 to 856,1129 to 2257,1096 to 1462,999,<1,<1,<1,<1,<1,0.0,N,104.4,13,8,18,,,,,,,,,
1-3,85W-140,484.0,3277,25,1 to 192,<1,<1,<1,<1,<1,1 to 12,1 to 98,1,<1,1 to 132,<1,1 to 286,<1,1 to 366,764,<1,<1,<1,<1,<1,0.0,N,327.8,6,4,15,18 to 23,18 to 22,15093 to 30186,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
